valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle	
0.223606	-0.222962	0.223606	0.223606	-0.436532	0	0.223606	0	0.407373	0.220194	0.197166	0.192003	-0.284293	-0.223606	0.315448	0.321245	-0.228722	0.405478	1.44585	-0.113555	0.137879	-0.898079	0.374571	-1	0	1	
0.223606	1.11912	14.3108	4.91935	-1.01164	0	0.223606	0	0.407373	0.220194	0.197166	0.192003	-0.284293	-0.223606	0.315448	0.321245	-0.228722	0.405478	1.44585	-0.113555	0.701615	-0.898079	1.84107	0.223089	1	1	
0.223606	-1.96659	0.223606	0.223606	-0.48627	0	0.223606	0	0.407373	0.220194	0.197166	0.192003	-0.284293	-0.223606	0.315448	0.321245	-0.228722	0.405478	-1.016	0.149031	-1.99783	-0.898079	0.036739	0.0109796	1	1	
0.223606	-1.64589	0.223606	0.223606	-0.680561	0	0.223606	0	0.407373	0.220194	0.197166	0.192003	-0.284293	-0.223606	0.315448	0.321245	-0.228722	0.405478	0.625231	-0.113555	-0.198176	-0.898079	1.36887	0.0912405	0	1	
0.223606	1.0494	0.223606	0.223606	0.730677	0	0.223606	0	0.407373	0.220194	0.197166	0.192003	-0.284293	-0.223606	0.315448	0.321245	-0.228722	0.405478	-0.605692	0.53487	-0.140175	-0.289703	0.174943	-1	0	1	
0.223606	4.57824	19.0066	14.3108	3.42951	29.1633	14.3108	0	-2.56659	-0.27984	-6.88529	-0.182689	-0.284293	26.236	-4.08424	-3.65828	-0.901462	-1.84926	3.29223	0.320515	8.49063	1.83961	2.76627	0.993299	1	1	
0.223606	6.60722	14.3108	9.61509	2.26207	25.9229	9.61509	0	-2.56659	0.720227	7.27963	0.566688	9.00677	2.88145	-2.27863	-3.30602	5.67338	-2.24496	4.72831	-1.24428	10.0918	3.05637	1.98695	0.998993	1	1	
0.223606	5.79174	9.61509	9.61509	2.54483	29.1633	23.7023	0	-2.56659	4.92553	-0.473309	0.22672	7.37027	3.09928	-1.47072	-2.73275	6.77082	-2.33613	5.13862	-1.24428	11.5368	3.05637	2.76627	0.998953	1	1	
0.223606	-0.372824	4.91935	0.223606	-2.66526	6.48073	0.223606	0	0.407373	0.220194	0.197166	0.192003	-0.284293	-0.223606	0.315448	0.321245	-0.228722	0.405478	-1.22115	2.18541	-2.07335	-0.898079	0.624106	0.900822	0	3	
0.223606	3.38417	9.61509	0.223606	-1.46702	9.7211	14.3108	0	-2.56659	0.71552	7.28038	0.566735	0.302566	13.4801	-3.8908	-3.16084	-0.83145	-1.66144	-0.605692	-0.708391	-0.198769	-0.289703	2.76627	0.997895	1	1	
